project;documented refactorings decreasing cc;documented refactorings increasing cc;documented refactorings equalizing cc;undocumented refactorings decreasing cc;undocumented refactorings increasing cc;undocumented refactorings equalizing cc;
Apache Qpid; 13; 27; 1; 316; 1215; 724
Apache Rampart; 0; 2; 0; 25; 156; 107
Apache RAT (incubating); 0; 1; 0; 27; 41; 65
Apache Rave; 2; 24; 5; 32; 278; 132
Apache Redback components; 0; 0; 0; 7; 4; 43
Apache Redback core; 0; 1; 0; 12; 5; 86
Apache River; 11; 14; 14; 30; 75; 114
Apache Roller; 2; 7; 10; 211; 586; 537
Apache S4; 2; 5; 1; 27; 88; 45
Apache Sandesha; 8; 5; 4; 51; 202; 131
Apache Santuario Java; 13; 11; 14; 97; 315; 254
Apache Savan; 1; 0; 0; 1; 8; 8
Apache ServiceMix 3; 11; 21; 8; 111; 708; 468
Apache ServiceMix 4 bundles; 0; 0; 0; 2; 13; 4
Apache ServiceMix 4 features; 0; 1; 3; 18; 79; 82
Apache ServiceMix 4 kernel; 1; 0; 0; 19; 134; 68
Apache ServiceMix 4 NMR; 2; 5; 2; 20; 127; 72
Apache ServiceMix 4 specs; 0; 0; 0; 2; 40; 14
Apache ServiceMix archetypes; 0; 0; 0; 3; 13; 8
Apache ServiceMix components; 0; 1; 1; 7; 26; 23
Apache ServiceMix Documentation; 0; 0; 0; 1; 1; 1
Apache ServiceMix Maven plug-ins; 0; 0; 0; 0; 1; 2
Apache ServiceMix utils; 0; 1; 0; 5; 34; 18
Apache Shindig; 10; 35; 8; 224; 986; 683
Apache Shiro; 9; 24; 4; 140; 433; 370
Apache Sling; 9; 23; 20; 391; 1430; 1100
Apache Solr; 8; 14; 1; 103; 621; 554
Apache Sqoop; 0; 5; 0; 20; 113; 28
Apache Stanbol (incubating); 15; 26; 16; 130; 389; 336
Apache Struts 1; 15; 21; 8; 152; 623; 681
Apache Struts 2; 3; 15; 8; 126; 549; 567
Apache Struts Maven; 0; 0; 1; 4; 8; 11
Apache Struts Sandbox; 6; 16; 9; 118; 446; 253
Apache Subversion; 1; 0; 1; 32; 143; 226
Apache Synapse; 33; 50; 37; 207; 1027; 681
Apache Tapestry 3; 5; 5; 1; 124; 448; 251
Apache Tapestry 4; 14; 29; 4; 231; 1035; 578
Apache Thrift (incubating); 0; 0; 0; 21; 132; 92
Apache Tika; 2; 4; 4; 109; 535; 325
Apache Tiles; 11; 19; 19; 119; 362; 261
Apache Tomcat; 13; 32; 34; 342; 988; 1512
Apache Tomcat 5.5.x; 0; 0; 0; 5; 30; 42
Apache Tomcat 6.0.x; 0; 1; 4; 40; 246; 262
Apache Tomcat 7.0.x; 12; 26; 27; 252; 899; 1312
Apache Tomcat Connectors; 1; 3; 0; 46; 144; 91
Apache Tomcat Maven plugin; 0; 0; 0; 1; 39; 50
Apache Tomcat Native; 0; 0; 0; 14; 53; 40
Apache TrafficServer; 0; 0; 0; 1; 0; 4
Apache Tuscany DAS; 2; 0; 0; 42; 125; 68
Apache Tuscany SCA 1.x; 85; 153; 83; 961; 3125; 2433
Apache Tuscany SCA 2.x; 100; 184; 91; 1271; 4339; 3362
Apache Tuscany SCA C++; 0; 0; 3; 5; 11; 13
Apache Tuscany SDO; 0; 1; 0; 31; 154; 91
Apache Vysper; 0; 11; 2; 42; 246; 176
Apache Wave; 0; 1; 0; 5; 28; 27
Apache Web Services Axiom; 24; 43; 11; 164; 665; 373
Apache Web Services Commons XMLSchema; 0; 3; 0; 15; 88; 55
Apache Web Services Neethi; 0; 6; 0; 23; 86; 66
Apache Weinre; 0; 0; 0; 6; 10; 8
Apache Whirr; 1; 2; 1; 19; 140; 82
Apache Wicket; 43; 82; 66; 1142; 3659; 4721
Apache Wink (incubating); 1; 3; 3; 28; 223; 125
Apache WSS4J; 10; 17; 2; 86; 366; 201
Apache Xalan Java; 0; 1; 0; 172; 700; 638
Apache Xerces2 Java; 1; 1; 0; 143; 653; 674
Apache XML Graphics Commons; 0; 2; 0; 16; 131; 71
Apache XMLBeans; 10; 16; 1; 69; 410; 181
Commons Sanselan; 0; 8; 1; 17; 80; 86
TGI EHSS Grupo 1; 0; 0; 0; 0; 0; 1
TGI EHSS Grupo 2; 0; 0; 0; 0; 0; 1
